City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
The Valley,18.22,-63.06,302.59,74,20,4.6,AI,1601165381
Penha,-26.77,-48.65,294.26,88,75,2.6,BR,1601165381
Labuhan,-6.88,112.21,299.94,73,67,4.95,ID,1601165381
Oyama,36.3,139.8,292.15,82,75,1.5,JP,1601165381
Lompoc,34.64,-120.46,296.48,64,1,6.2,US,1601165382
Maniitsoq,65.42,-52.9,275.26,86,100,4.2,GL,1601165382
Oil City,41.43,-79.71,294.15,73,1,2.6,US,1601165382
Cervo,43.67,-7.41,290.93,1,99,4.84,ES,1601165382
Rio Claro,-22.41,-47.56,297.15,57,0,1.0,BR,1601165383
Rockport,28.02,-97.05,301.48,76,1,5.7,US,1601165383
Guasdualito,7.24,-70.73,298.05,90,53,1.11,VE,1601165383
Talnakh,69.49,88.4,280.15,100,90,11.0,RU,1601165384
Shagonar,51.53,92.8,277.03,72,61,0.31,RU,1601165384
Kantang,7.41,99.52,298.15,94,20,1.0,TH,1601165384
Weligama,5.97,80.42,298.35,87,77,1.92,LK,1601165384
Atar,20.52,-13.05,307.81,20,1,3.17,MR,1601165384
Ponta Delgada,37.73,-25.67,294.15,83,75,5.7,PT,1601165375
Itarema,-2.92,-39.92,298.56,78,12,6.98,BR,1601165385
Doha,25.29,51.53,303.15,74,0,2.1,QA,1601165223
Felanitx,39.47,3.15,296.15,60,20,10.3,ES,1601165385
Alice Springs,-23.7,133.88,297.04,22,13,5.7,AU,1601165386
Muros,42.78,-9.06,289.26,93,93,3.29,ES,1601165386
Defiance,41.33,-84.45,299.15,47,1,6.2,US,1601165386
Tete,-16.16,33.59,298.39,31,0,0.13,MZ,1601165387
Houma,29.6,-90.72,301.15,69,1,2.6,US,1601165387
Nome,64.5,-165.41,278.15,48,75,3.6,US,1601165387
Chimbarongo,-34.7,-71.05,287.15,54,8,3.6,CL,1601165387
Husavik,66.04,-17.34,284.15,66,100,7.7,IS,1601165387
Inhambane,-23.86,35.38,295.03,87,12,1.19,MZ,1601165388
Teknāf,20.86,92.31,298.65,91,85,4.07,BD,1601165388
Adeje,28.12,-16.73,297.04,78,20,8.7,ES,1601165388
Barcelos,41.54,-8.62,291.15,93,75,4.1,PT,1601165388
Touros,-5.2,-35.46,297.15,83,20,4.6,BR,1601165389
Berlevåg,70.86,29.09,278.57,67,1,6.79,NO,1601165389
Bloemhof,-27.65,25.61,277.63,53,0,2.83,ZA,1601165389
Esperance,-33.87,121.9,285.15,93,90,2.6,AU,1601165389
Angoche,-16.23,39.91,296.25,78,0,6.65,MZ,1601165390
Bayonet Point,28.33,-82.68,300.37,74,76,3.34,US,1601165390
Preobrazheniye,42.9,133.91,288.14,59,25,3.47,RU,1601165390
Akonolinga,3.77,12.25,292.81,98,100,1.65,CM,1601165390
